hindi,phon
उजड़ा,u j rr aa
उजड्ड,u j a dd dd
उजड्डपन,u j a dd dd p a n
उजरत,u j r a tt
उजला,u j l aa
उजागर,u j aa g a r
उजाड़,u j aa rr
उजाड़ना,u j aa rr n aa
उजाला,u j aa l aa
उज्जवल,u j j v a l
उठना,u tth n aa
उठवाना,u tth v aa n aa
उठाऊ,u tth O
उठाना,u tth aa n aa
उठाईगीर,u tth E g ii r
उड़द,u rr a d
उड़न,u rr a n
उड़नशील,u rr a n sh ii l
उड़ना,u rr n aa
उड़नेवाला,u rr n e v aa l aa
उड़ाऊ,u rr O
उड़ाका,u rr aa k aa
उड़ान,u rr aa n
उड़ाना,u rr aa n aa
उत्-,u t 
उतना,u t n aa
उतरना,u t a r n aa
उतराई,u t r E
उतार,u t aa r
उतार-चढ़ाव,u t aa r c a rrh aa v
उतारना,u t aa r n aa
उतारू,u t aa r uu
उतावला,u t aa v l aa
उतावलापन,u t aa v l aa p a n
उत्कंठा,u t k a n tth aa
उत्तम,u t t a m
उत्तर,u t t a r
उत्तर,u t t a r
उत्तरदायित्व,u t t a r d aa y i t v a
उत्तरदायी,u t t a r d aa y ii
उत्तर-पश्चिम,u t t a r p a sh c i m
उत्तर-पश्चिमी,u t t a r p a sh c i m ii
उत्तर-पूर्व,u t t a r p uu r v
उत्तर-पूर्वी,u t t a r p uu r v ii
उत्तराधिकार,u t t a r aa dh i k aa r
उत्तराधिकारी,u t t a r aa dh i k aa r ii
उत्तरार्ध,u t t a r aa r dh a
उत्तरी,u t t a r ii
उत्तरोत्तर,u t t a r o t t a r
उत्तीर्ण,u t t ii r n a
उत्तेजक,u t t e j a k
उत्तेजना,u t t e j n aa
उत्तेजनापूर्ण,u t t e j n aa p uu r n a
उत्तेजित,u t t e j i t
उत्थान,u t th aa n
उत्पत्ति,u t p a t t i
उत्पन्न,u t p a n n a
उत्पात,u t p aa t
उत्पादक,u t p aa d a k
उत्पादन,u t p aa d a n
उत्पादित,u t p aa d i t
उत्पीड़न,u t p ii rr a n
उत्पीड़ित,u t p ii rr i t
अंक,a ~ k
अंक-गणित,a ~ k g a n i t
अंकित,a ~ k i t
अंकुर,a ~ k u r
अंकुरित,a ~ k u r i t
अंकुश,a ~ k u sh
अंग,a ng g
अँगड़ाई,a ~ g rr E
अँगरेज़,
अँगरेज़ी,
अँगहीन,a ng g h ii n
अंगार,a ng g aa r
अंगारा,a ~ g aa r aa
अँगिया,a ~ g i y aa
अंगीकार,a ng g ii k aa r
अँगीठी,a ~ g ii tth ii
अंगुल,a ng g u l
अंगुली,a ng g u l ii
अँगूठा,a ~ g uu tth aa
अँगूठी,a ~ g uu tth ii
अंगूर,a ng g uu r
अँगोछा,a ~ g o ch aa
अंग्रेज,a ~ g r e z
अँग्रेजी,a ~ g r e z ii
अंचल,a n c a l
अंजन,a n j a n
अंजर-पंजर,a n j a r p a n j a r
अंजलि,a n j a l i
अंजीर,a n j ii r
अँटना,a ~ tt n aa
अंट-संट,a n tt s a n tt
अंड-बंड,a n dd b a n dd
अंडा,a n dd aa
अंडी,a n dd ii
अंत,a n t
अँतड़ी,a ~ t rr ii
अंतर,a n t a r
अंतरिक्ष,a n t a r i k sh a
अंतर्गत,a n t a r g a t
अंतर्जातीय,a n t a r j aa t ii y
अंतर्देशीय,a n t a r d e sh ii y
अंतर्धान,a n t a r dh aa n
अंतर्राष्ट्रीय,a n t a r r aa sh tt r ii y
अंतर्वासी,a n t a r v aa s ii
अंतिम,a n t i m
अंदर,a n d a r
अंदाज,a n d aa z
अंदाजा,a n d aa z aa
अंधकार,a n dh k aa r
अंधड़,a n dh a rr
अंधविश्वास,a n dh v i sh v aa s
अंधा,a n dh aa
अंधाधुंध,a n dh aa dh u n dh
अंधापन,a n dh aa p a n
अंधेर,a n dh e r
अँधेरा,a ~ dh e r aa
अंश,a n sh
अंशकालिक,a n sh k aa l i k
अ,
अए,a e
अकड़,a k a rr
अकड़न,a k rr a n
अकड़ना,a k a rr n aa
अकस्मात्,a k a s m aa t
अकाज,a k aa j
अकादमी,a k aa d m ii
अकारण,a k aa r a n
अकाल,a k aa l
अकेला,a k e l aa
अकेलापन,a k e l aa p a n
अकेले,a k e l e
अक्खड़,a k kh a rr
अक्तूबर,a k t uu b a r
अक्ल,a q l
अक्लमंद,a q l m a n d
अक्लमंदी,a q l m a n d ii
अक्षर,a k sh a r
अक्सर,a k s a r
अखंड,a kh a n dd
अखंडता,a kh a n dd t aa
अखबार,a x b aa r
अखरना,a kh a r n aa
अखाड़ा,a kh aa rr aa
अखिल-भारतीय,a kh i l bh aa r t ii y
अख़्‍तियार,
अगर,a g a r
अगर-बत्ती,a g a r b a t t ii
अगल-बगल,a g a l b a g a l
अगला,a g l aa
अगला-पिछला,a g l aa p i ch l aa
अगवानी,a g v aa n ii
अगस्त,a g a s t
अगाऊ,a g O
अगाध,a g aa dh
अगुआ,a g u aa
अग्नि,a g n i
अग्र,a g r a
अग्रिम,a g r i m
अचंभा,a c a m bh aa
अचकन,a c k a n
अचरज,a c r a j
अचल,a c a l
अचानक,a c aa n a k
अचार,a c aa r
अचूक,a c uu k
अचेत,a c e t
अच्छा,a c ch aa
अच्छाई,a c ch E
अछूत,a ch uu t
अछूता,a ch uu t aa
अजंडा,a j a n dd aa
अजगर,a j g a r
अजनबी,a j n a b ii
अजब,a j a b
अजायब-घर,a j aa y a b gh a r
अजान,a j aa n
अजिल्द,a j i l d
अजी,a j ii
अजीब,a j ii b
अटकना,a tt a k n aa
अटकल,a tt k a l
अटकल-पच्चू,a tt k aa l p a c c uu
अटकाना,a tt k aa n aa
अटपटा,a tt p a tt aa
अटल,a tt a l
अटारी,a tt aa r ii
अटूट,a tt uu tt
अट्ठा,a tt tth aa
अट्ठाईस,a tt tth E s
अट्ठानवे,a tt tth aa n v e
अट्ठावन,
अट्ठासी,
अट्ठी,a tt tth ii
अठ,a th 
अठन्नी,a tth a n n ii
अठारह,a tth h a t t a r
अठहत्तर,a tth aa r a h
अठावन,a tth aa v a n
अठासी,a tth aa s ii
अड़ंगा,a rr a ng g aa
अड़चन,a rr c a n
अड़तालीस,a rr t aa l ii s
अड़तीस,a r t ii s
अड़ना,a rr n aa
अड़सठ,a rr s a tth
अडिग,a dd i g
अड़ियल,a rr i y a l
अड्डा,a dd dd aa
अढ़ाई,
अणु,a n u
अत एव,a t e v
अतर,a t a r
अति,a t i
अति-,a t i 
अतिथि,a t i th i
अतिरिक्त,a t i r i k t a
अतीव,a t ii v
अत्यंत,a t y a n t
अत्यधिक,a t y a dh i k
अत्याचार,a t y aa c aa r
अत्याचारी,a t y aa c aa r ii
अत्यावश्यक,a t y aa v a sh y a k
अत्युत्तम,a t y u t t a m
अथक,a th a k
अथवा,a th v aa
अथाह,a th aa h
अदरक,a d r a k
अदल-बदल,a d a l b a d a l
अदा,a d aa
अदालत,a d aa l a t
अदालती,a d aa l t ii
अदावत,a d aa v a t
अध-,a dh 
अधिक,a dh i k
अधिकतम,a dh i k t a m
अधिकतर,a dh i k t a r
अधिकता,a dh i k t aa
अधिकार,a dh i k aa r
अधिकारी,a dh i k aa r ii
अधिकृत,a dh i k r i t
अधिवेशन,a dh i v e sh a n
अधीक्षक,a dh ii k sh a k
अधीन,a dh ii n
अधीनता,a dh ii n t aa
अधीर,a dh ii r
अधीरता,a dh ii r t aa
अधूरा,a dh uu r aa
अधेड़,a dh e rr
अध्यक्ष,a dh y a k sh a
अध्यक्षता,a dh y a k sh a t aa
अध्ययन,a dh y a y a n
अध्यापक,a dh y aa p a k
अध्याय,a dh y aa y
अनंत,a n a n t
अन-,u n 
अनगढ़,a n g a rrh
अनगिनत,a n g i n a t
अनजान,a n j aa n
अनजाने,a n j aa n e
अनदेखा,a n d e kh aa
अनदेखी,a n d e kh ii
अनपढ़,a n p a rrh
अनबन,a n b a n
अनब्याहा,a n b y aa h aa
अनमना,a n m a n aa
अनर्थ,a n a r th
अनशन,a n a sh a n
अनसुना,a n s u n aa
अनहोनी,a n h o n ii
अनाचार,a n aa c aa r
अनाज,a n aa j
अनाड़ी,a n aa rr ii
अनाथ,a n aa th
अनाथालय,a n aa th aa l a y
अनादर,a n aa d a r
अनाप-शनाप,a n aa p sh a n aa p
अनाम,a n aa m
अनार,a n aa r
अनावश्यक,a n aa v a sh y a k
अनिच्छा,a n i c ch aa
अनिद्रा,a n i d r aa
अनियंत्रित,a n i y a n t r i t
अनियमित,a n i y a m i t
अनियमितता,a n i y a m i t t aa
अनिवार्य,a n i v aa r y a
अनिश्चित,a n i sh c i t
अनिश्चितता,a n i sh c i t t aa
अनु-,a n u 
अनुकरण,a n u k a r a n
अनुकूल,a n u k uu l
अनुगृहीत,a n u g r i h ii t
अनुचित,a n u c i t
अनुदान,a n u d aa n
अनुनय,a n u n a y
अनुपजाऊ,a n u p j O
अनुपयोगी,a n u p y o g ii
अनुपस्थित,a n u p a s th i t
अनुपस्थिति,a n u p a s th i t i
अनुपात,a n u p aa t
अनुभव,a n u bh a v
अनुभवी,a n u bh a v ii
अनुमति,a n u m a t i
अनुमान,a n u m aa n
अनुयायी,a n u y aa y ii
अनुराग,a n u r aa g
अनुरूप,a n u r uu p
अनुरोध,a n u r o dh
अनुवाद,a n u v aa d
अनुशासन,a n u sh aa s a n
अनुसरण,a n u s a r a n
अनुसार,a n u s aa r
अनूठा,a n uu tth aa
अनेक,a n e k
अनेकता,a n e k t aa
अनेकानेक,a n e k aa n e k
अनोखा,a n o kh aa
अनौपचारिक,a n O p c aa r i k
अन्न,a n n a
अन्न-जल,a n n a j a l
अन्य,a n y a
अन्यथा,a n y a th aa
अन्याय,a n y aa y
अन्यायपूर्ण,a n y aa y p uu r n a
अन्यायी,a n y aa y ii
अप-,a p 
अपकार,a p k aa r
अपकीर्ति,a p k ii r t i
अपक्व,a p a k v a
अप-टू-डेट,a p tt uu dd e tt
अपना,a p n aa
अपनाना,a p n aa n aa
अपमान,a p m aa n
अपमानजनक,a p m aa n j a n a k
अपमानित,a p m aa n i t
अपयश,a p y a sh
अपराध,a p r aa dh
अपराधी,a p r aa dh ii
अपरिचित,a p a r i c i t
अपर्याप्त,a p a r y aa p t a
अपलक,a p a l a k
अपवाद,a p v aa d
अपवित्र,a p a v i t r a
अपव्यय,a p a v y a y
अपशकुन,a p sh a k u n
अपशब्द,a p sh a b d a
अपहरण,a p h a r a n
अपार,a p aa r
अपील,a p ii l
अपूर्ण,a p uu r n a
अपेक्षा,a p e k sh aa
अपेक्षाकृत,a p e k sh aa k r i t
अप्रकट,a p r a k a tt
अप्रकाशित,a p r a k aa sh i t
अप्रचलित,a p r a c a l i t
अप्रत्यक्ष,a p r a t y a k sh a
अप्रत्याशित,a p r a t y aa sh i t
अप्रशन्न,a p r a s a n n a
अप्रिय,a p r i y
अप्रैल,a p r aa i l
अफरना,a ph a r n aa
अफवाह,a f v aa h
अफसर,a f s a r
अफसोस,a f s o s
अफीम,a f ii m
अफीमची,a f ii m c ii
अब,a b
अबीर,a b ii r
अवे,a b e
अबोध,a b o dh
अभय,a bh a y
अभागा,a bh aa g aa
अभाव,a bh aa v
अभि-,a bh i 
अभिनंदन,a bh i n a n d a n
अभिनय,a bh i n a y
अभिनव,a bh i n a v
अभिनेता,a bh i n e t aa
अभिप्राय,a bh i p r aa y
अभिभावक,a bh i bh aa v a k
अभिभूत,a bh i bh uu t
अभिमान,a bh i m aa n
अभिमानी,a bh i m aa n ii
अभियोग,a bh i y o g
अभिरुचि,a bh i r u c i
अभिलाषा,a bh i l aa sh aa
अभिवादन,a bh i v aa d a n
अभिव्यक्त,a bh i v y a k t a
अभिव्यक्ति,a bh i v y a k t i
अभी,a bh ii
अभूतपूर्व,a bh uu t p uu r v a
अभ्यस्त,a bh y a s t a
अभ्यागत,a bh y aa g a t
अभ्यास,a bh y aa s
अमचूर,a m c uu r
अमन,a m a n
अमर,a m a r
अमरीकी,a m r ii k ii
अमरूद,a m r uu d
अमल,a m a l
अमानत,a m aa n a t
अमानती,a m aa n t ii
अमानी,a m aa n ii
अमान्य,a m aa n y a
अमावस,a m aa v a s
अमिट,a m i tt
अमीर,a m ii r
अमीरी,a m ii r ii
अमुक,a m u k
अमूल्य,a m uu l y a
अमृत,a m r i t
अमोघ,a m o gh
अम्ल,a m l a
अयोग्य,a y o g y a
अयोग्यता,a y o g y a t aa
अरंडी,a r a n dd ii
अरक,a r a q
अरथी,a r th ii
अरदली,a r d a l ii
अरब,a r a b
अरब,a r a b
अरबी,a r b ii
अरमान,a r m aa n
अरवी,a r v ii
अरसा,a r s aa
अरहर,a r h a r
अराजकता,a r aa j a k t aa
अरारोट,a r aa r o tt
अरुचि,a r u c i
अरुचिकर,a r u c i k a r
अरे,a r e
अरोगी,a r o g ii
अर्क,a r q
अर्ज,a r z
अर्ज,a r z
अर्जन,a r j a n
अर्जित,a r j i t
अर्जी,a r z ii
अर्थ,a r th a
अर्थपूर्ण,a r th p uu r n a
अर्थहीन,a r th h ii n
अर्थात,a r th aa t
अर्थी,a r th ii
अर्दली,a r d l ii
अर्द्ध,a r d dh 
अर्धकुशल,a r dh k u sh a l
अर्धवार्षिक,a r dh v aa r sh i k
अर्धविकसित,a r dh v i k a s i t
अर्धशिक्षित,a r dh sh i k sh i t
अर्धसरकारी,a r dh s a r k aa r ii
अर्धसाप्ताहिक,a r dh s aa p t aa h i k
अर्धांगिनी,a r dh aa ng g i n ii
अलंकार,a l a ~ k aa r
अलंकृत,a l a ~ k r i t
अलग,a l a g
अलग-अलग,a l a g a l a g
अलगाना,a l g aa n aa
अलगाव,a l g aa v
अलबता,a l b a t t aa
अलबम,a l b a m
अलमारी,a l m aa r ii
अलमूनियम,a l m uu n i y a m
अलसाना,a l s aa n aa
अलहदा,a l a h d aa
अलापना,a l aa p n aa
अलार्म,a l aa r m
अलावा,a l aa v aa
अलिखित,a l i kh i t
अलोना,a l o n aa
अल्टीमेटम,a l tt ii m e tt a m
अल्प,a l p a
